사용자 유형,기존 응원 팀,질문,매칭팀,추천 리그,sbert_score,n2v_score,vector_score,매칭 스코어,llm_rank,llm_reason
1,NC 다이노스,나는 NC 다이노스의 '외국인선수명가' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,브라이튼 앤 호브 알비온,EPL,0.3476693,0.9632924795150756,0.957553776686939,0.7159,3,"브라이튼은 독특한 팀 문화를 가지고 있지만, NC 다이노스의 스타일과 가장 유사하지 않습니다."
1,NC 다이노스,나는 NC 다이노스의 '외국인선수명가' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.3965282,0.6826919317245483,0.867585580547885,0.6052,2,"페라리는 전통적으로 세계적인 브랜드로, 고성능과 기술적 혁신이 특징입니다. NC 다이노스의 외국인 선수들이 지향하는 스타일과 잘 맞을 수 있습니다."
1,NC 다이노스,나는 NC 다이노스의 '외국인선수명가' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.4709314,0.5,0.924607589386269,0.5733,3,"레이싱 불스는 젊음과 혁신을 상징하며, 페라리와 비슷한 고성능 브랜드입니다. 그러나 레이싱 불스의 이미지와 스타일이 더 경쾌하고 다채로운 면이 있습니다."
1,NC 다이노스,나는 NC 다이노스의 '외국인선수명가' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.35083044,0.5,0.9354280984956792,0.5274,1,"맥라렌은 기술적 혁신과 성능을 중시하는 브랜드로, 페라리와 유사한 이미지를 가지고 있습니다. 맥라렌의 스타일이 NC 다이노스의 외국인 선수들이 선호하는 스타일에 잘 맞습니다."
1,SSG 랜더스,나는 SSG 랜더스의 '프론티어정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,제주 SK FC,K LEAGUE,0.5447359,0.5,0.9480141155784624,0.6075,1,"제주 SK FC는 프론티어정신과 유사한 현대적이고 세련된 이미지를 가지고 있으며, 제주도의 독특한 문화와 결합하여 독창적인 팀 아이덴티티를 형성할 수 있습니다."
1,SSG 랜더스,나는 SSG 랜더스의 '프론티어정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,대전 하나 시티즌,K LEAGUE,0.49765533,0.5,0.9680314540706978,0.5927,2,"대전 하나 시티즌은 현대적이고 세련된 이미지를 가지고 있으며, 대전의 역사와 문화를 반영한 독특한 팀 아이덴티티를 형성할 수 있습니다."
1,SSG 랜더스,나는 SSG 랜더스의 '프론티어정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,FC안양,K LEAGUE,0.5811077,0.3925055265426636,0.9323982092801332,0.5759,3,"FC안양은 아직까지 명확한 팀 아이덴티티가 부족하며, 프론티어정신과 유사한 현대적이고 세련된 이미지를 형성하기에는 충분한 요소들이 부족합니다."
1,기아 타이거즈,나는 기아 타이거즈의 '타이거즈 정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,FC 서울,K LEAGUE,0.34218422,0.9206703305244446,0.9185224376874302,0.6888,1,"FC 서울은 강력한 팀컬러와 함께 전통적인 축구 정신을 중시하는 팀으로, 기아 타이거즈와 유사한 스타일을 가지고 있습니다."
1,기아 타이거즈,나는 기아 타이거즈의 '타이거즈 정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,전북 현대 모터스,K LEAGUE,0.30883008,0.9141936898231506,0.9422203001400252,0.6777,2,전북 현대는 강력한 팀컬러와 함께 꾸준한 성적과 팬들의 열정적인 지지로 기아 타이거즈의 스타일을 연상시킵니다.
1,기아 타이거즈,나는 기아 타이거즈의 '타이거즈 정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,FC안양,K LEAGUE,0.47860724,0.5515850782394409,0.9323982092801332,0.5986,3,"FC안양은 아직 젊은 팀으로서 성장 중이지만, 팬들의 열정과 함께하는 경기는 기아 타이거즈와 유사한 분위기를 제공합니다."
1,기아 타이거즈,나는 기아 타이거즈의 '타이거즈 정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,리버풀,EPL,0.36364704,0.6927316188812256,0.9470712300839362,0.612,1,리버풀은 강력한 팀컬처와 전술적 유연성을 바탕으로 한 플레이 스타일이 '타이거즈 정신'과 유사하다.
1,기아 타이거즈,나는 기아 타이거즈의 '타이거즈 정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,아스톤 빌라,EPL,0.330424,0.7030928134918213,0.984708580541229,0.6103,2,"아스튼 빌라는 공격적인 축구와 빠른 패스로 특징지어질 수 있으며, 이는 기아 타이거즈의 스타일과 공통점이 있다."
1,기아 타이거즈,나는 기아 타이거즈의 '타이거즈 정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,울버햄튼 원더러스,EPL,0.27498397,0.7467997074127197,0.9769664364860592,0.6041,3,"울버햄튼은 전술적 유연성과 강력한 팀워크를 바탕으로 한 플레이 스타일을 가지고 있지만, 리버풀이나 아스톤 빌라와 같은 완벽한 일관성을 지니지 못한다."
1,기아 타이거즈,나는 기아 타이거즈의 '타이거즈 정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.41421244,0.9108704924583436,0.867585580547885,0.7036,1,"페라리는 전통적으로 강력한 브랜드로, 성공과 도전정신이 잘 어우러진 팀입니다."
1,기아 타이거즈,나는 기아 타이거즈의 '타이거즈 정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.43901604,0.5,0.9354280984956792,0.5627,2,"맥라렌은 기술적 혁신과 경쟁 정신을 중시하는 팀으로, 타이거즈 정신에 가까운 강렬한 에너지를 발산합니다."
1,기아 타이거즈,나는 기아 타이거즈의 '타이거즈 정신' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,애스턴 마틴,F1,0.34645528,0.5952788591384888,0.9197905115027538,0.5607,3,애스턴 마틴은 최근에 F1 리그에 진출하면서 빠르게 성장하고 있습니다. 그러나 아직 페라리나 맥라렌 못지않는 완성도는 보이지 않습니다.
1,두샨 베어스,나는 두샨 베어스의 '두산 왕조' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,FC안양,K LEAGUE,0.50324786,0.8059000968933105,0.9323982092801332,0.7101,2,"FC안양은 공격적인 축구를 선호하는 팀으로, 빠른 패스와 강력한 슈팅을 중시합니다."
1,두샨 베어스,나는 두샨 베어스의 '두산 왕조' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,FC 서울,K LEAGUE,0.40400097,0.8369331955909729,0.9185224376874302,0.6801,1,"FC 서울은 전통적으로 공격적인 축구 스타일을 추구해왔으며, 두샨 베어스의 플레이를 많이 볼 수 있습니다."
1,두샨 베어스,나는 두샨 베어스의 '두산 왕조' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,광주FC,K LEAGUE,0.38682777,0.7918038964271545,0.9032777632922462,0.6521,3,"광주FC는 최근 몇 년간 공격적인 축구로 변화를 시도하고 있지만, 아직 안정적인 스타일을 찾고 있는 단계입니다."
1,두샨 베어스,나는 두샨 베어스의 '두산 왕조' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.38178682,0.8179190754890442,0.867585580547885,0.6534,1,"페라리는 전통적으로 F1에서 가장 성공한 팀 중 하나로, 두샨 베어스의 스타일과 잘 어울립니다."
1,두샨 베어스,나는 두샨 베어스의 '두산 왕조' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,애스턴 마틴,F1,0.32637087,0.8322631120681763,0.9197905115027538,0.6474,2,"애스턴 마틴은 최근에 F1에 진출하면서 큰 주목을 받고 있으며, 기술적이고 혁신적인 접근 방식을 선호하는 두샨 베어스의 스타일과 잘 맞습니다."
1,두샨 베어스,나는 두샨 베어스의 '두산 왕조' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.4156571,0.5,0.924607589386269,0.5512,3,"레이싱 불스는 상대적으로 작은 팀으로, 더 개인적인 성격을 가진 팀입니다. 두샨 베어스의 스타일에 가장 적합하지 않을 가능성이 큽니다."
1,롯데 자이언츠,나는 롯데 자이언츠의 '비상과 추락' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.46297714,0.8214930295944214,0.867585580547885,0.6873,1,"페라리는 F1 역사상 가장 성공적인 팀 중 하나로, 꾸준한 성과와 극적인 승리를 동시에 보여주는 팀입니다."
1,롯데 자이언츠,나는 롯데 자이언츠의 '비상과 추락' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.51135653,0.5,0.924607589386269,0.5895,2,"레이싱 불스는 젊은 팀으로서 빠른 발전을 이루고 있으며, 때로는 예상치 못한 결과를 내는 경우가 많아 '비상과 추락' 같은 느낌을 줄 수 있습니다."
1,롯데 자이언츠,나는 롯데 자이언츠의 '비상과 추락' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,애스턴 마틴,F1,0.41705215,0.5739799737930298,0.9197905115027538,0.5804,3,"애스턴 마틴은 비교적 신생 팀으로서 아직 안정적인 성과를 보이지 않고 있으며, 롯데 자이언츠와 같은 극적인 변화를 보여주는 팀은 아니지만, 앞으로의 발전 가능성이 큽니다."
1,삼성 라이온즈,나는 삼성 라이온즈의 '최다 한국시리즈 진출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.41605592,0.9313048124313354,0.867585580547885,0.7125,1,"페라리는 삼성 라이온즈와 유사한 스타일로, 꾸준하고 지속적인 성과를 내며 여러 번의 우승을 차지한 팀입니다."
1,삼성 라이온즈,나는 삼성 라이온즈의 '최다 한국시리즈 진출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.44535965,0.5,0.9354280984956792,0.5652,2,"맥라렌도 삼성 라이온즈와 유사하게 꾸준히 상위권에 위치하며, 여러 번의 우승과 챔피언십을 경험한 팀입니다."
1,삼성 라이온즈,나는 삼성 라이온즈의 '최다 한국시리즈 진출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.43184447,0.5,0.924607589386269,0.5577,3,"레이싱 불스는 최근 몇 년간 성적이 좋지 않았지만, 과거에는 삼성 라이온즈와 유사한 강력한 팀으로 알려져 있습니다."
1,키움 히어로즈,나는 키움 히어로즈의 '선수 유출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,FC 서울,K LEAGUE,0.40766722,0.8740761280059814,0.9185224376874302,0.6964,1,"키움 히어로즈와 유사한 스타일은 공격적인 축구를 중시하는 팀들이 많습니다. FC 서울도 최근 몇 년간 공격적인 플레이를 선보이며, 선수 유출과 같은 전술적 변화를 통해 다양한 경기 방식을 시도해왔습니다."
1,키움 히어로즈,나는 키움 히어로즈의 '선수 유출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,FC안양,K LEAGUE,0.51600957,0.7326595783233643,0.9323982092801332,0.6859,2,"FC안양은 중소규모 팀으로서 자원에 한계가 있지만, 공격적인 축구를 추구하는 경향이 있습니다. 그러나 키움 히어로즈와 같은 고성능을 발휘할 수 있는 선수 유출 전술과는 다소 차이가 있을 수 있습니다."
1,키움 히어로즈,나는 키움 히어로즈의 '선수 유출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,전북 현대 모터스,K LEAGUE,0.41497695,0.7914983630180359,0.9422203001400252,0.671,3,전북 현대 모터스는 전통적으로 안정적인 축구를 중시하는 팀입니다. 공격적인 플레이보다는 조직적이고 체계적인 경기 운영을 선호합니다. 따라서 키움 히어로즈와 유사한 스타일의 팀으로는 적합하지 않을 수 있습니다.
1,키움 히어로즈,나는 키움 히어로즈의 '선수 유출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,뉴캐슬 유나이티드,EPL,0.46556312,0.7719215154647827,0.9648402984482792,0.688,1,"뉴캐슬 유나이티드는 강력한 수비와 전술적 안정감을 중시하는 팀으로, 선수 유출 스타일과 잘 맞는 편입니다."
1,키움 히어로즈,나는 키움 히어로즈의 '선수 유출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,울버햄튼 원더러스,EPL,0.40649685,0.7070980072021484,0.9769664364860592,0.6408,2,"울버햄튼은 강력한 수비와 전술적 유연성을 중시하며, 선수 유출 스타일과 비슷한 전술적 접근을 취합니다."
1,키움 히어로즈,나는 키움 히어로즈의 '선수 유출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,브라이튼 앤 호브 알비온,EPL,0.3701207,0.6840991973876953,0.957553776686939,0.6132,3,"브라이튼은 공격적인 수비와 전술적 다양성을 중시하며, 선수 유출 스타일과 어느 정도 일치하지만, 더 많은 변화를 기대할 수 있습니다."
1,키움 히어로즈,나는 키움 히어로즈의 '선수 유출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.4035967,0.8583681583404541,0.867585580547885,0.6783,1,"페라리는 전통적으로 강력한 팀으로, 꾸준히 우승 후보로 꼽히며 다양한 선수들이 활약하는 모습을 보여줍니다."
1,키움 히어로즈,나는 키움 히어로즈의 '선수 유출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,애스턴 마틴,F1,0.3134726,0.767798900604248,0.9197905115027538,0.6165,2,애스턴 마틴은 최근 몇 년간 빠르게 성장하며 강력한 팀으로 자리 잡았습니다. 다양한 드라이버들이 활약하는 모습을 보여줍니다.
1,키움 히어로즈,나는 키움 히어로즈의 '선수 유출' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.49642506,0.5,0.924607589386269,0.5835,3,"레이싱 불스는 아직 젊은 팀이지만, 빠르게 성장하고 있으며 다양한 선수들이 활동하고 있습니다. 그러나 아직 완전히 안정적인 팀으로 자리 잡지 못했습니다."
1,한화 이글스,나는 한화 이글스의 '고속 성장 유망주' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.49462348,0.5,0.924607589386269,0.5828,2,레이싱 불스의 젊은 드라이버들과 강력한 기술 개발 능력이 고속 성장 유망주와 유사합니다.
1,한화 이글스,나는 한화 이글스의 '고속 성장 유망주' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.42956403,0.5,0.9354280984956792,0.5589,1,"맥라렌은 꾸준히 젊은 드라이버들을 발굴하고, 기술 혁신에 앞장서며 고속 성장을 이루어왔습니다."
1,한화 이글스,나는 한화 이글스의 '고속 성장 유망주' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.43243235,0.5,0.867585580547885,0.5465,3,"페라리는 강력한 브랜드와 풍부한 경험을 바탕으로 고성능 차량을 개발하고 있지만, 최근 젊은 드라이버들의 성장을 주목받지 못하는 면이 있습니다."
1,포항 스틸러스,나는 포항 스틸러스의 'ACL챔피언' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,NC 다이노스,KBO,0.34442657,0.9581524133682252,0.8965756496547588,0.7003,1,NC 다이노스는 강력한 타선과 투수진을 보유하고 있어 포항 스틸러스의 스타일과 유사합니다.
1,포항 스틸러스,나는 포항 스틸러스의 'ACL챔피언' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,롯데 자이언츠,KBO,0.25733995,0.8450301885604858,0.9239084086851896,0.6257,2,"롯데는 최근 몇 년간 꾸준히 강팀으로 성장하며, 타선의 폭발력과 투수진의 안정성을 바탕으로 한 플레이 스타일이 포항 스틸러스의 스타일에 유사합니다."
1,포항 스틸러스,나는 포항 스틸러스의 'ACL챔피언' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,기아 타이거즈,KBO,0.2862761,0.7231428623199463,0.904112603536039,0.5846,3,"기아는 타선에서 강한 팀이며, 투수진의 안정성도 중요한 역할을 합니다. 그러나 전반적인 플레이 스타일이 포항 스틸러스와 완전히 일치하지 않을 수 있습니다."
1,FC 서울,나는 FC 서울의 '뜨거운 팬덤 화력' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,삼성 라이온즈,KBO,0.37318915,0.941257119178772,0.8872751692682712,0.7032,1," 삼성 라이온즈는 강력한 팬덤을 가지고 있으며, 홈 경기에서의 열정적인 분위기는 상대팀에게 큰 압박감을 주어 많은 승리를 이끌어냅니다."
1,FC 서울,나는 FC 서울의 '뜨거운 팬덤 화력' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,기아 타이거즈,KBO,0.34841394,0.9206703305244446,0.904112603536039,0.6885,2," 기아 타이거즈도 강력한 팬덤을 가지고 있으며, 특히 홈 경기에서의 열정적인 분위기는 상대팀에게 큰 어려움을 주습니다."
1,FC 서울,나는 FC 서울의 '뜨거운 팬덤 화력' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,키움 히어로즈,KBO,0.37353563,0.8740761280059814,0.9368513188800902,0.6864,3," 키움 히어로즈는 비교적 신생 팀이지만, 빠르게 팬덤을 형성하고 있으며 홈 경기에서의 열정적인 분위기는 상대팀에게 압박감을 줍니다."
1,FC 서울,나는 FC 서울의 '뜨거운 팬덤 화력' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,리버풀,EPL,0.44571882,0.7122136950492859,0.9470712300839362,0.6526,1,"리버풀은 'Red Army'라는 강력한 팬덤을 가지고 있으며, 홈 경기장인 앨센트 레이드에서 매우 열렬한 분위기를 조성합니다."
1,FC 서울,나는 FC 서울의 '뜨거운 팬덤 화력' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맨체스터 유나이티드,EPL,0.39225617,0.7290843725204468,0.9387467508866107,0.6363,2,"유나이티드는 'The Theatre of Dreams'라는 별명을 가진 올드 트래퍼프에서 강력한 팬덤을 보유하고 있으며, 특히 유럽 클라식 경기의 분위기를 자랑합니다."
1,FC 서울,나는 FC 서울의 '뜨거운 팬덤 화력' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,뉴캐슬 유나이티드,EPL,0.51613235,0.5705482959747314,0.9648402984482792,0.6276,3,"뉴캐슬 유나이티드는 'The Toon Army'라는 강력한 팬덤을 가지고 있지만, 리버풀과 유나이티드와 비교해도 약간 뒤떨어지는 느낌이 듭니다."
1,FC 서울,나는 FC 서울의 '뜨거운 팬덤 화력' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,페라리,F1,0.45431912,0.9933778643608092,0.867585580547885,0.7526,1,"페라리는 전 세계적으로 가장 큰 팬덤 중 하나로, 열정적인 지원과 강렬한 화력이 특징입니다."
1,FC 서울,나는 FC 서울의 '뜨거운 팬덤 화력' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.515947,0.5,0.924607589386269,0.5913,3,"레이싱 불스는 상대적으로 작은 팀이지만, 매우 열정적이고 충성 있는 팬덤을 가지고 있습니다."
1,FC 서울,나는 FC 서울의 '뜨거운 팬덤 화력' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.42411256,0.5,0.9354280984956792,0.5567,2,"맥라렌은 강력한 경쟁력을 바탕으로 많은 팬을 확보하고 있으며, 특히 유럽에서 큰 인기를 끌고 있습니다."
1,광주FC,나는 광주FC의 '조직력_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,애스턴 마틴,F1,0.33920917,0.9872194528579712,0.9197905115027538,0.7145,1,"애스턴 마틴은 강력한 엔진 성능과 안정적인 드리프트 컨트롤을 중시하는 팀으로, 광주FC의 조직력 강화 스타일과 유사한 전략적 접근이 특징입니다."
1,광주FC,나는 광주FC의 '조직력_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.47633567,0.5,0.924607589386269,0.5755,2,"레이싱 불스는 빠른 출발와 강력한 중반 성능을 추구하는 팀으로, 광주FC의 조직력 강화 스타일과 공통점이 있습니다."
1,광주FC,나는 광주FC의 '조직력_강화' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.3745445,0.5,0.9354280984956792,0.5369,3,"맥라렌은 전략적 페이스와 안정적인 경주를 중시하는 팀으로, 광주FC의 조직력 강화 스타일과는 다소 다른 접근 방식을 취합니다."
1,대전 하나 시티즌,나는 대전 하나 시티즌의 '하나금융그룹의_힘' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,윌리엄스,F1,0.3911547,0.5,0.940160426099116,0.5445,2,윌리엄스의 브랜드 아이덴티티와 디자인 스타일이 하나금융그룹의 '하나금융의 힘'과 유사한 느낌을 줍니다.
1,대전 하나 시티즌,나는 대전 하나 시티즌의 '하나금융그룹의_힘' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,맥라렌,F1,0.3817672,0.5,0.9354280984956792,0.5398,1,맥라렌의 강렬하고 독특한 디자인 스타일은 하나금융그룹의 브랜드 아이덴티티와 비슷합니다.
1,대전 하나 시티즌,나는 대전 하나 시티즌의 '하나금융그룹의_힘' 같은 스타일이 마음에 들어. 이런 느낌을 가진 다른 리그 팀을 추천해줘.,레이싱 불스,F1,0.37518576,0.5,0.924607589386269,0.535,3,"레이싱 불스의 디자인은 현대적이고 강렬하지만, 하나금융그룹의 '하나금융의 힘'과 완전히 동일한 느낌을 주지는 않습니다."
